Date,Team,Acquired,Relinquished,Notes,TEAM_ABBREVIATION,player_name_clean,matched_name,PLAYER_ID,match_score
2020-08-08,Jazz,,Emmanuel Mudiay,placed on IL with sore left knee,UTA,Emmanuel Mudiay,Emmanuel Mudiay,1626144,100.0
2020-08-08,Jazz,,Juwan Morgan,placed on IL with sore right knee,UTA,Juwan Morgan,Juwan Morgan,1629752,100.0
2020-08-08,Kings,,Richaun Holmes,placed on IL with sore right hip (out for season),SAC,Richaun Holmes,Richaun Holmes,1626158,100.0
2020-08-08,Lakers,,Danny Green,placed on IL with right hip injury,LAL,Danny Green,Danny Green,201980,100.0
2020-08-09,Mavericks,,Dorian Finney-Smith,placed on IL with left hip injury,DAL,Dorian Finney-Smith,Dorian Finney-Smith,1627827,100.0
2020-08-09,Thunder,,Andre Roberson,placed on IL with sore right ankle,OKC,Andre Roberson,Andre Roberson,203460,100.0
2020-08-09,Wizards,,Shabazz Napier,placed on IL with sprained right ankle (out for season),WAS,Shabazz Napier,Shabazz Napier,203894,100.0
2020-08-10,76ers,,Joel Embiid,placed on IL with left ankle injury,PHI,Joel Embiid,Joel Embiid,203954,100.0
2020-08-10,Jazz,,Donovan Mitchell,placed on IL with left leg injury,UTA,Donovan Mitchell,Donovan Mitchell,1628378,100.0
2020-08-10,Kings,,De'Aaron Fox,placed on IL with sore left shoulder (out for season),SAC,De'Aaron Fox,De'Aaron Fox,1628368,100.0
2020-08-10,Nuggets,,Jerami Grant,placed on IL with sore right knee,DEN,Jerami Grant,Jerami Grant,203924,100.0
2020-08-10,Pelicans,,Jrue Holiday,placed on IL with right elbow injury (out for season),NOP,Jrue Holiday,Jrue Holiday,201950,100.0
2020-08-10,Pelicans,,Zion Williamson,placed on IL with sore right knee (out for season),NOP,Zion Williamson,Zion Williamson,1629627,100.0
2020-08-10,Raptors,,Fred VanVleet,placed on IL with right knee injury,TOR,Fred VanVleet,Fred VanVleet,1627832,100.0
2020-08-10,Raptors,,Kyle Lowry,placed on IL with sore lower back,TOR,Kyle Lowry,Kyle Lowry,200768,100.0
2020-08-10,Raptors,,Oshae Brissett,placed on IL with surgery on right knee (out for season),TOR,Oshae Brissett,Oshae Brissett,1629052,100.0
2020-08-10,Thunder,,Danilo Gallinari,placed on IL with left ankle injury,OKC,Danilo Gallinari,Danilo Gallinari,201568,100.0
2020-08-10,Thunder,,Nerlens Noel,placed on IL with sore right ankle,OKC,Nerlens Noel,Nerlens Noel,203457,100.0
2020-08-10,Thunder,,Shai Gilgeous-Alexander,placed on IL with right calf injury,OKC,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,1628983,100.0
2020-08-11,Bucks,,Donte DiVincenzo,placed on IL with right elbow injury,MIL,Donte DiVincenzo,Donte DiVincenzo,1628978,100.0
2020-08-11,Bucks,,Eric Bledsoe,placed on IL with sore right knee,MIL,Eric Bledsoe,Eric Bledsoe,202339,100.0
2020-08-11,Bucks,,Wesley Matthews,placed on IL with right adductor injury,MIL,Wesley Matthews,Wesley Matthews,202083,100.0
2020-08-11,Clippers,,Landry Shamet,placed on IL with sprained left foot,LAC,Landry Shamet,Landry Shamet,1629013,100.0
2020-08-11,Mavericks,,Seth Curry,placed on IL with right leg injury,DAL,Seth Curry,Seth Curry,203552,100.0
2020-08-11,Pacers,,T.J. Warren,placed on IL with sore right foot,IND,T.J. Warren,T.J. Warren,203933,100.0
2020-08-11,Rockets,,Danuel House Jr.,placed on IL with sore left toe,HOU,Danuel House Jr.,Danuel House Jr.,1627863,100.0
2020-08-11,Rockets,,Tyson Chandler,placed on IL with shoulder injury,HOU,Tyson Chandler,Tyson Chandler,2199,100.0
2020-08-12,76ers,,Alec Burks,placed on IL with sore left foot,PHI,Alec Burks,Alec Burks,202692,100.0
2020-08-12,Celtics,,Daniel Theis,placed on IL with sore right foot,BOS,Daniel Theis,Daniel Theis,1628464,100.0
2020-08-12,Celtics,,Jayson Tatum,placed on IL with sprained left ankle,BOS,Jayson Tatum,Jayson Tatum,1628369,100.0
2020-08-12,Celtics,,Kemba Walker,placed on IL with left knee injury,BOS,Kemba Walker,Kemba Walker,202689,100.0
2020-08-12,Jazz,,Mike Conley Jr.,placed on IL with sore right knee,UTA,Mike Conley,Mike Conley,201144,100.0
2020-08-12,Jazz,,Rudy Gobert,placed on IL with sore lower back,UTA,Rudy Gobert,Rudy Gobert,203497,100.0
2020-08-12,Lakers,,Alex Caruso,placed on IL with neck spasms,LAL,Alex Caruso,Alex Caruso,1627936,100.0
2020-08-12,Pacers,,Malcolm Brogdon,placed on IL with sore neck,IND,Malcolm Brogdon,Malcolm Brogdon,1627763,100.0
2020-08-12,Raptors,,Ogugua Anunoby / O.G. Anunoby,placed on IL with sore right knee,TOR,O.G. Anunoby,OG Anunoby,1628384,90.9090909090909
2020-08-12,Rockets,,Russell Westbrook,placed on IL with strained right quadriceps,HOU,Russell Westbrook,Russell Westbrook,201566,100.0
2020-08-13,Blazers,,Nassir Little,placed on IL with dehydraftion,POR,Nassir Little,Nassir Little,1629642,100.0
